gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,literature score,rus score
male,group D,bachelor's degree,standard,completed,4,4,4
female,group C,associate's degree,free/reduced,completed,4,4,4
female,group C,bachelor's degree,standard,completed,3,4,4
male,group C,high school,standard,none,4,4,4
female,group D,master's degree,standard,completed,4,5,5
male,group C,associate's degree,standard,none,5,4,4
male,group B,bachelor's degree,standard,none,4,4,4
female,group D,associate's degree,free/reduced,none,3,4,4
female,group C,high school,free/reduced,completed,4,4,5
female,group E,high school,standard,none,4,5,4
female,group C,some college,standard,none,4,5,4
female,group C,some high school,free/reduced,none,3,3,3
female,group C,high school,free/reduced,none,3,3,3
female,group C,some college,standard,none,5,5,5
male,group C,some college,standard,none,4,4,4
male,group A,some college,free/reduced,none,2,2,1
male,group C,associate's degree,standard,completed,5,4,4
female,group B,some high school,standard,none,3,3,3
male,group C,high school,standard,none,4,3,4
male,group C,associate's degree,standard,none,3,2,2
male,group E,associate's degree,standard,completed,4,3,3
male,group B,associate's degree,standard,none,5,4,5
female,group C,bachelor's degree,standard,none,5,5,5
female,group B,some college,free/reduced,none,4,4,4
male,group D,some high school,standard,completed,4,4,4
male,group C,associate's degree,standard,none,3,3,3
female,group B,some high school,free/reduced,none,2,2,2
female,group D,some high school,free/reduced,completed,2,3,3
male,group C,high school,free/reduced,none,3,4,3
female,group C,high school,standard,none,4,4,4
female,group B,high school,standard,completed,4,4,4
male,group D,associate's degree,standard,completed,4,4,4
male,group D,some college,standard,none,4,4,4
female,group C,high school,standard,none,4,4,4
male,group B,some college,standard,none,4,4,3
female,group C,bachelor's degree,standard,completed,4,5,5
male,group D,high school,free/reduced,none,4,4,4
male,group E,associate's degree,standard,none,5,4,4
female,group B,bachelor's degree,standard,none,3,4,4
male,group E,some college,standard,none,4,3,3
female,group C,some college,standard,completed,4,4,4
female,group C,associate's degree,standard,none,3,3,3
female,group C,some college,standard,none,3,4,4
female,group B,bachelor's degree,standard,none,4,4,4
male,group A,associate's degree,standard,none,4,4,4
female,group C,some college,free/reduced,completed,3,4,4
male,group D,some college,free/reduced,none,3,4,4
female,group D,some college,standard,none,4,5,5
female,group B,high school,standard,none,3,4,3
male,group B,some high school,standard,completed,5,5,4
female,group C,some college,standard,none,3,3,3
female,group D,some high school,free/reduced,none,2,2,2
male,group C,some college,standard,none,3,3,3
male,group A,bachelor's degree,free/reduced,completed,3,3,3
male,group C,high school,standard,completed,4,3,3
male,group C,bachelor's degree,free/reduced,none,4,4,4
female,group A,some high school,free/reduced,none,3,4,3
female,group D,some high school,standard,none,4,5,5
male,group E,some college,standard,none,5,4,4
female,group C,some college,free/reduced,completed,3,4,4
male,group D,some high school,standard,none,4,4,4
female,group D,some college,standard,completed,5,5,5
female,group D,bachelor's degree,standard,none,3,4,4
male,group E,associate's degree,free/reduced,none,3,3,3
female,group D,some high school,standard,none,4,5,5
female,group D,master's degree,free/reduced,completed,5,5,5
female,group A,some high school,standard,none,4,5,4
male,group A,bachelor's degree,standard,none,4,4,4
female,group B,associate's degree,standard,none,4,5,5
male,group C,associate's degree,standard,completed,5,5,5
male,group C,master's degree,free/reduced,none,4,5,4
female,group E,some high school,free/reduced,none,2,3,3
female,group A,some high school,free/reduced,none,2,3,3
female,group E,some college,standard,none,4,4,4
female,group E,bachelor's degree,standard,none,4,4,4
female,group C,associate's degree,free/reduced,none,3,4,4
female,group D,high school,standard,none,4,4,4
male,group D,master's degree,standard,none,4,4,4
male,group E,some high school,free/reduced,completed,4,4,3
female,group D,some college,standard,none,4,4,4
male,group E,some college,standard,none,4,4,4
male,group C,associate's degree,standard,completed,3,3,3
female,group C,some high school,standard,completed,4,4,4
male,group A,high school,free/reduced,none,3,3,3
female,group B,high school,free/reduced,none,3,4,4
female,group C,associate's degree,standard,none,5,5,5
male,group B,some high school,standard,none,4,4,3
male,group D,some high school,standard,none,3,3,3
female,group C,some high school,standard,completed,3,3,4
male,group A,some college,standard,none,3,3,3
female,group A,some college,free/reduced,none,3,4,3
female,group D,high school,standard,completed,5,5,5
female,group C,high school,standard,none,3,3,4
female,group C,some high school,standard,none,4,4,4
male,group B,associate's degree,standard,completed,4,4,4
female,group B,associate's degree,standard,none,5,4,4
female,group D,high school,free/reduced,completed,3,3,3
male,group D,associate's degree,standard,completed,5,5,5
female,group D,master's degree,standard,completed,4,4,4
male,group E,some college,standard,completed,5,5,4
male,group D,associate's degree,standard,none,4,4,3
male,group B,some high school,standard,completed,4,4,4
female,group C,bachelor's degree,free/reduced,completed,3,4,4
male,group E,high school,standard,none,5,4,4
male,group C,bachelor's degree,standard,completed,4,4,4
male,group C,associate's degree,standard,none,4,4,4
male,group D,some college,standard,none,4,3,4
male,group E,high school,free/reduced,completed,3,3,3
female,group C,associate's degree,free/reduced,completed,5,5,5
female,group D,high school,standard,completed,3,3,4
female,group D,master's degree,free/reduced,completed,3,3,4
female,group A,some high school,standard,completed,3,5,4
male,group B,some college,free/reduced,none,3,2,2
female,group C,some college,free/reduced,none,4,4,4
male,group C,bachelor's degree,standard,none,5,5,5
male,group C,some high school,free/reduced,none,4,4,4
male,group A,some high school,free/reduced,none,4,3,3
male,group C,some high school,free/reduced,none,4,4,3
male,group C,associate's degree,free/reduced,none,4,4,3
female,group C,high school,standard,none,4,4,4
male,group C,high school,standard,none,4,3,3
female,group A,some high school,free/reduced,none,3,3,3
male,group C,some high school,standard,none,4,4,4
male,group C,some college,free/reduced,completed,3,3,3
male,group D,associate's degree,standard,none,4,4,4
male,group D,associate's degree,free/reduced,none,4,4,4
male,group C,high school,standard,none,4,3,3
male,group D,some high school,standard,completed,5,5,5
female,group C,some college,standard,completed,4,5,4
female,group D,high school,standard,none,4,5,4
female,group A,some high school,free/reduced,none,3,4,4
female,group B,associate's degree,standard,none,4,5,4
male,group A,some high school,free/reduced,none,4,5,4
female,group C,some high school,standard,completed,4,4,4
male,group D,some college,free/reduced,none,4,4,3
male,group C,high school,standard,completed,5,5,4
male,group B,high school,standard,none,3,3,3
male,group B,associate's degree,standard,none,5,4,4
female,group C,some college,free/reduced,completed,4,5,5
female,group E,some college,standard,none,5,5,5
female,group C,associate's degree,free/reduced,none,4,4,4
male,group C,some college,free/reduced,none,4,3,3
female,group C,associate's degree,free/reduced,none,3,4,4
male,group C,bachelor's degree,free/reduced,none,2,3,3
female,group D,bachelor's degree,standard,none,4,5,5
male,group D,associate's degree,free/reduced,none,3,3,3
female,group E,bachelor's degree,standard,none,5,5,5
male,group B,high school,standard,completed,4,4,4
male,group C,bachelor's degree,free/reduced,none,3,3,3
male,group B,some college,free/reduced,none,3,3,3
female,group E,some college,standard,none,4,4,4
female,group C,some college,free/reduced,none,4,5,5
male,group A,bachelor's degree,standard,completed,4,3,4
female,group C,some college,standard,none,5,5,5
female,group D,associate's degree,free/reduced,none,2,2,2
male,group A,high school,free/reduced,completed,4,4,4
female,group A,high school,free/reduced,completed,4,5,5
male,group C,some college,standard,none,5,4,4
female,group C,associate's degree,standard,completed,5,5,5
female,group C,high school,standard,none,4,4,4
female,group C,associate's degree,standard,completed,4,5,5
female,group D,some high school,standard,none,3,4,4
female,group B,associate's degree,standard,completed,5,5,5
female,group D,bachelor's degree,standard,completed,4,4,5
male,group E,bachelor's degree,standard,completed,4,4,4
male,group D,associate's degree,standard,none,4,4,4
female,group D,master's degree,standard,none,3,4,4
male,group E,associate's degree,standard,none,4,4,4
male,group B,high school,standard,completed,4,4,4
female,group D,associate's degree,free/reduced,none,3,3,3
male,group C,some college,free/reduced,none,4,4,4
male,group A,high school,standard,none,3,3,3
female,group B,associate's degree,standard,none,3,3,3
male,group C,high school,standard,none,4,4,4
male,group D,some college,free/reduced,none,4,3,3
female,group C,associate's degree,free/reduced,none,3,4,4
male,group B,some high school,standard,completed,4,3,3
male,group A,associate's degree,free/reduced,completed,4,5,5
female,group A,associate's degree,free/reduced,none,4,5,4
female,group C,associate's degree,standard,none,4,4,4
female,group C,some college,standard,none,5,5,5
female,group C,bachelor's degree,standard,none,5,5,5
female,group B,high school,standard,none,3,4,4
male,group D,high school,standard,completed,4,4,4
female,group C,some college,standard,none,3,3,3
female,group D,some college,free/reduced,completed,3,4,4
female,group B,some high school,standard,none,4,4,4
male,group E,some college,standard,none,4,4,4
female,group D,master's degree,standard,none,4,4,5
female,group B,associate's degree,standard,completed,5,5,5
male,group C,some college,free/reduced,none,4,4,3
female,group E,associate's degree,standard,completed,5,5,5
female,group D,master's degree,free/reduced,none,2,3,3
female,group B,some high school,standard,none,5,5,4
male,group A,high school,standard,none,4,4,4
male,group B,bachelor's degree,free/reduced,none,3,3,3
male,group C,master's degree,standard,none,4,4,4
female,group C,bachelor's degree,standard,none,5,5,5
male,group D,some college,standard,none,4,4,4
male,group A,some high school,standard,none,4,3,3
male,group D,some high school,free/reduced,none,4,3,3
female,group B,some high school,standard,completed,3,4,4
female,group B,master's degree,free/reduced,completed,4,5,5
female,group C,some high school,standard,completed,4,5,5
female,group D,some college,standard,none,4,5,5
female,group E,some college,standard,completed,4,4,4
female,group D,some high school,standard,completed,4,4,4
female,group B,high school,free/reduced,completed,4,4,4
male,group D,some college,standard,none,4,3,3
female,group C,associate's degree,standard,none,5,5,5
male,group D,bachelor's degree,standard,none,4,3,3
male,group C,master's degree,free/reduced,none,3,3,3
male,group C,high school,standard,completed,3,3,3
male,group E,some college,standard,none,4,3,3
male,group C,some high school,free/reduced,completed,3,4,3
female,group C,high school,free/reduced,none,2,3,3
female,group D,bachelor's degree,free/reduced,none,2,3,3
female,group C,associate's degree,standard,none,4,4,4
female,group C,associate's degree,standard,completed,4,4,4
female,group C,some high school,standard,none,3,3,3
male,group E,associate's degree,standard,completed,4,4,3
female,group E,associate's degree,standard,completed,4,5,5
male,group B,high school,standard,completed,4,4,4
female,group C,bachelor's degree,free/reduced,completed,4,5,5
male,group C,associate's degree,standard,completed,3,3,3
female,group D,high school,standard,none,3,4,4
male,group E,bachelor's degree,standard,completed,5,4,4
male,group A,associate's degree,standard,completed,5,5,5
male,group C,high school,standard,completed,4,4,4
male,group D,associate's degree,free/reduced,completed,4,5,4
female,group C,associate's degree,standard,none,5,4,4
female,group D,associate's degree,standard,none,5,5,5
female,group D,master's degree,standard,none,4,4,4
male,group E,some high school,free/reduced,completed,4,5,4
female,group A,some high school,standard,completed,5,5,5
male,group C,high school,standard,completed,4,4,4
female,group C,high school,free/reduced,none,4,4,4
male,group C,master's degree,standard,none,4,4,4
male,group C,some high school,free/reduced,none,4,4,4
male,group B,bachelor's degree,free/reduced,completed,5,5,5
female,group B,associate's degree,standard,none,2,3,3
male,group D,some college,free/reduced,none,4,4,4
male,group E,associate's degree,standard,none,3,3,2
female,group C,some college,free/reduced,none,2,2,2
female,group C,associate's degree,standard,completed,3,4,4
male,group C,master's degree,free/reduced,none,4,4,4
female,group B,associate's degree,free/reduced,none,3,4,4
male,group D,some high school,standard,none,4,4,4
female,group D,some college,standard,completed,4,4,4
female,group C,some college,standard,none,4,4,4
male,group C,bachelor's degree,standard,completed,5,5,5
female,group D,some college,free/reduced,completed,4,4,4
male,group B,bachelor's degree,free/reduced,none,3,3,3
male,group B,associate's degree,standard,none,3,3,3
female,group E,bachelor's degree,free/reduced,completed,5,5,5
female,group D,master's degree,free/reduced,completed,4,4,4
male,group B,high school,free/reduced,none,4,3,3
male,group D,bachelor's degree,free/reduced,none,4,4,4
male,group B,some college,standard,completed,4,4,4
male,group A,bachelor's degree,standard,none,5,5,5
female,group C,some college,standard,none,3,4,3
female,group C,high school,free/reduced,completed,3,4,4
female,group E,high school,standard,none,4,5,4
male,group A,associate's degree,free/reduced,completed,2,3,3
male,group A,some college,standard,completed,4,3,3
female,group B,high school,standard,none,5,5,5
female,group B,some college,free/reduced,completed,3,3,3
female,group D,master's degree,standard,none,3,4,4
female,group D,some high school,standard,none,5,5,5
female,group E,some high school,standard,none,4,4,4
female,group D,bachelor's degree,free/reduced,none,4,4,4
female,group D,associate's degree,standard,completed,4,4,4
female,group D,some college,standard,none,4,4,4
female,group C,associate's degree,standard,none,4,4,4
female,group A,high school,standard,none,3,4,4
female,group C,bachelor's degree,free/reduced,none,3,4,4
female,group C,some college,standard,none,3,4,4
female,group A,some high school,standard,none,3,4,4
male,group C,some college,free/reduced,none,3,3,3
male,group A,some high school,standard,none,4,4,3
male,group E,bachelor's degree,standard,none,4,4,4
female,group E,high school,standard,none,4,4,4
female,group C,bachelor's degree,standard,completed,5,5,5
female,group C,bachelor's degree,standard,completed,3,4,4
male,group B,high school,free/reduced,none,2,2,1
male,group A,some high school,standard,none,3,3,3
female,group D,high school,standard,none,4,4,4
female,group D,some high school,standard,none,4,5,5
female,group D,master's degree,standard,none,3,3,4
female,group C,high school,standard,none,2,2,2
female,group E,some college,standard,none,4,4,4
male,group D,high school,free/reduced,none,3,3,3
male,group D,master's degree,free/reduced,completed,5,5,5
male,group C,some high school,standard,none,4,4,4
female,group C,associate's degree,standard,none,5,5,5
female,group C,master's degree,free/reduced,none,2,3,3
female,group E,some college,standard,none,4,4,4
female,group B,associate's degree,standard,none,3,4,4
male,group D,some college,free/reduced,completed,4,3,4
female,group C,some college,standard,none,3,3,4
male,group C,bachelor's degree,standard,completed,5,5,5
female,group C,associate's degree,standard,none,4,4,4
female,group A,associate's degree,standard,none,5,5,5
female,group C,high school,standard,none,3,4,4
female,group E,bachelor's degree,standard,none,2,3,2
male,group D,bachelor's degree,standard,none,5,4,5
male,group D,master's degree,standard,none,5,5,5
male,group C,associate's degree,free/reduced,completed,4,4,4
female,group C,high school,free/reduced,none,2,4,3
male,group B,bachelor's degree,free/reduced,none,4,4,3
male,group C,high school,free/reduced,completed,3,3,3
male,group A,some college,standard,completed,5,5,5
female,group E,bachelor's degree,free/reduced,none,4,3,4
male,group D,some college,standard,completed,5,5,5
male,group B,associate's degree,free/reduced,completed,4,4,4
male,group D,associate's degree,standard,none,4,3,3
male,group D,some college,free/reduced,none,3,3,3
female,group C,some high school,standard,completed,3,3,3
male,group D,some college,standard,none,4,4,4
male,group B,high school,standard,none,4,3,4
